,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
704,42,0,0,0,0,0,0.0,0,0,0,0,0,-9.09e-06,0,0,0.0,0.001145265,0.0,0,0,0,0.0,0,0.0,-0.000405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.007524522,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-9.09e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000111,0,0.0,0,0.0,0,0,0.0,0.108981088,0,0,0,0,0,0,0,-0.000398,0.008074105,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-9.09e-06,0.0,0.0,0.0,0,0,0,-0.009137774,0,0,0,0.004368069,0.0,0.0,0,0,-0.001422588,0,0.0,0.0,0,-4.25e-05,0.002732733,0.0,0.0,-9.09e-06,0.0,0,0.0,0,2.74e-05,0,0,0,0.0,0.0,0.0,0,0,-3.64e-05,0,0.0,0,0,0,0.0,-0.000371,0,0,0.0,0,0,0,0,-0.000371,-0.009137774,0,0,-9.09e-06,0.0,-9.09e-06,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-9.09e-06,0.0,0,-0.000139,0,0,0.001145265,0.001145265,0.001145265,0,0,-9.09e-06,0,0.0,0,0.0,0,0,0.0,0,-0.009137774,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
718,43,0,0,0,0,0,0.0,0,0,0,0,0,-1.64e-05,0,0,0.0,0.002062454,0.0,0,0,0,0.0,0,0.0,-0.000729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.014015713,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.64e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000199,0,0.0,0,0.0,0,0,0.0,0.198510793,0,0,0,0,0,0,0,-0.000717,0.015005431,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.64e-05,0.0,0.0,0.0,0,0,0,-0.0148322,0,0,0,0.006141325,0.0,0.0,0,0,-0.002561873,0,0.0,0.0,0,-0.002243503,0.004861174,0.0,0.0,-1.64e-05,0.0,0,0.0,0,2.45e-05,0,0,0,0.0,0.0,0.0,0,0,-6.55e-05,0,0.0,0,0,0,0.0,-0.000668,0,0,0.0,0,0,0,0,-0.000667,-0.017458156,0,0,-1.64e-05,0.0,-1.64e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-1.64e-05,0.0,0,-0.00025,0,0,0.002062454,0.002062454,0.002062454,0,0,-1.64e-05,0,0.0,0,0.0,0,0,0.0,0,-0.015529726,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
732,44,0,0,0,0,0,0.0,0,0,0,0,0,-2.32e-05,0,0,0.0,0.002921378,0.0,0,0,0,0.0,0,0.0,-0.001032925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.020441901,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000282,0,0.0,0,0.0,0,0,0.0,0.283533308,0,0,0,0,0,0,0,-0.001015063,0.021843795,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.32e-05,0.0,0.0,0.0,0,0,0,-0.018910353,0,0,0,0.006433837,0.0,0.0,0,0,-0.003628783,0,0.0,0.0,0,-0.005495044,0.006861632,0.0,0.0,-2.32e-05,0.0,0,0.0,0,2.47e-05,0,0,0,0.0,0.0,0.0,0,0,-9.28e-05,0,0.0,0,0,0,0.0,-0.000946,0,0,0.0,0,0,0,0,-0.000945,-0.025020181,0,0,-2.32e-05,0.0,-2.32e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-2.32e-05,0.0,0,-0.000355,0,0,0.002921378,0.002921378,0.002921378,0,0,-2.32e-05,0,0.0,0,0.0,0,0,0.0,0,-0.02176215,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
746,45,0,0,0,0,0,0.0,0,0,0,0,0,-2.99e-05,0,0,0.0,0.003765353,0.0,0,0,0,0.0,0,0.0,-0.001331333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.026774677,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000364,0,0.0,0,0.0,0,0,0.0,0.366995789,0,0,0,0,0,0,0,-0.001308311,0.028581573,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.99e-05,0.0,0.0,0.0,0,0,0,-0.022862338,0,0,0,0.006670816,0.0,0.0,0,0,-0.004677125,0,0.0,0.0,0,-0.008590137,0.008808379,0.0,0.0,-2.99e-05,0.0,0,0.0,0,2.42e-05,0,0,0,0.0,0.0,0.0,0,0,-0.00012,0,0.0,0,0,0,0.0,-0.001218828,0,0,0.0,0,0,0,0,-0.001218449,-0.032148221,0,0,-2.99e-05,0.0,-2.99e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-2.99e-05,0.0,0,-0.000457,0,0,0.003765353,0.003765353,0.003765353,0,0,-2.99e-05,0,0.0,0,0.0,0,0,0.0,0,-0.028201603,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
760,46,0,0,0,0,0,0.0,0,0,0,0,0,-3.64e-05,0,0,0.0,0.004588915,0.0,0,0,0,0.0,0,0.0,-0.001622524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.033115436,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.64e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000444,0,0.0,0,0.0,0,0,0.0,0.449145368,0,0,0,0,0,0,0,-0.001594466,0.035317537,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.64e-05,0.0,0.0,0.0,0,0,0,-0.027275921,0,0,0,0.007166078,0.0,0.0,0,0,-0.005700111,0,0.0,0.0,0,-0.012301247,0.010695031,0.0,0.0,-3.64e-05,0.0,0,0.0,0,2.19e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000146,0,0.0,0,0,0,0.0,-0.001485411,0,0,0.0,0,0,0,0,-0.001484949,-0.038931766,0,0,-3.64e-05,0.0,-3.64e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-3.64e-05,0.0,0,-0.000557,0,0,0.004588915,0.004588915,0.004588915,0,0,-3.64e-05,0,0.0,0,0.0,0,0,0.0,0,-0.033924189,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
774,47,0,0,0,0,0,0.0,0,0,0,0,0,-4.27e-05,0,0,0.0,0.005375502,0.0,0,0,0,0.0,0,0.0,-0.001900641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.039186607,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4.27e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.00052,0,0.0,0,0.0,0,0,0.0,0.527733645,0,0,0,0,0,0,0,-0.001867774,0.041766171,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-4.27e-05,0.0,0.0,0.0,0,0,0,-0.031996673,0,0,0,0.007997341,0.0,0.0,0,0,-0.006677168,0,0.0,0.0,0,-0.016000246,0.012521853,0.0,0.0,-4.27e-05,0.0,0,0.0,0,2.23e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000171,0,0.0,0,0,0,0.0,-0.001740025,0,0,0.0,0,0,0,0,-0.001739485,-0.045367249,0,0,-4.27e-05,0.0,-4.27e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-4.27e-05,0.0,0,-0.000653,0,0,0.005375502,0.005375502,0.005375502,0,0,-4.27e-05,0,0.0,0,0.0,0,0,0.0,0,-0.039034613,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
788,48,0,0,0,0,0,0.0,0,0,0,0,0,-4.88e-05,0,0,0.0,0.006141261,0.0,0,0,0,0.0,0,0.0,-0.002171394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.045340096,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4.88e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000594,0,0.0,0,0.0,0,0,0.0,0.605204115,0,0,0,0,0,0,0,-0.002133845,0.048287128,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-4.88e-05,0.0,0.0,0.0,0,0,0,-0.03691228,0,0,0,0.008862466,0.0,0.0,0,0,-0.007628354,0,0.0,0.0,0,-0.020448425,0.014185128,0.0,0.0,-4.88e-05,0.0,0,0.0,0,2.19e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000195,0,0.0,0,0,0,0.0,-0.001987898,0,0,0.0,0,0,0,0,-0.00198728,-0.051344684,0,0,-4.88e-05,0.0,-4.88e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-4.88e-05,0.0,0,-0.000746,0,0,0.006141261,0.006141261,0.006141261,0,0,-4.88e-05,0,0.0,0,0.0,0,0,0.0,0,-0.043632642,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
802,49,0,0,0,0,0,0.0,0,0,0,0,0,-5.47e-05,0,0,0.0,0.006885544,0.0,0,0,0,0.0,0,0.0,-0.002434553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.051553024,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.47e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000666,0,0.0,0,0.0,0,0,0.0,0.681407416,0,0,0,0,0,0,0,-0.002392454,0.054857218,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-5.47e-05,0.0,0.0,0.0,0,0,0,-0.041927566,0,0,0,0.009690278,0.0,0.0,0,0,-0.008552863,0,0.0,0.0,0,-0.025587394,0.015712239,0.0,0.0,-5.47e-05,0.0,0,0.0,0,2.1e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000219,0,0.0,0,0,0,0.0,-0.002228819,0,0,0.0,0,0,0,0,-0.002228126,-0.056875298,0,0,-5.47e-05,0.0,-5.47e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-5.47e-05,0.0,0,-0.000836,0,0,0.006885544,0.006885544,0.006885544,0,0,-5.47e-05,0,0.0,0,0.0,0,0,0.0,0,-0.047771028,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
944,50,0,0,0,0,0,0.0,0,0,0,0,0,-6.03e-05,0,0,0.0,0.007594877,0.0,0,0,0,0.0,0,0.0,-0.002685355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.057676013,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-6.03e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000734,0,0.0,0,0.0,0,0,0.0,0.754798797,0,0,0,0,0,0,0,-0.002638919,0.061320597,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-6.03e-05,0.0,0.0,0.0,0,0,0,-0.046608967,0,0,0,0.010171291,0.0,0.0,0,0,-0.009433959,0,0.0,0.0,0,-0.031262026,0.017179235,0.0,0.0,-6.03e-05,0.0,0,0.0,0,1.91e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000241,0,0.0,0,0,0,0.0,-0.002458427,0,0,0.0,0,0,0,0,-0.002457663,-0.061962121,0,0,-6.03e-05,0.0,-6.03e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-6.03e-05,0.0,0,-0.000922,0,0,0.007594877,0.007594877,0.007594877,0,0,-6.03e-05,0,0.0,0,0.0,0,0,0.0,0,-0.051482952,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
958,51,0,0,0,0,0,0.0,0,0,0,0,0,-6.56e-05,0,0,0.0,0.008265421,0.0,0,0,0,0.0,0,0.0,-0.002922443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.063658768,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-6.56e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000799,0,0.0,0,0.0,0,0,0.0,0.824913061,0,0,0,0,0,0,0,-0.002871906,0.067625129,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-6.56e-05,0.0,0.0,0.0,0,0,0,-0.050894168,0,0,0,0.010291507,0.0,0.0,0,0,-0.010266874,0,0.0,0.0,0,-0.037376727,0.01857809,0.0,0.0,-6.56e-05,0.0,0,0.0,0,1.95e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000262,0,0.0,0,0,0,0.0,-0.002675479,0,0,0.0,0,0,0,0,-0.002674648,-0.066604818,0,0,-6.56e-05,0.0,-6.56e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-6.56e-05,0.0,0,-0.001003736,0,0,0.008265421,0.008265421,0.008265421,0,0,-6.56e-05,0,0.0,0,0.0,0,0,0.0,0,-0.054783785,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
972,52,0,0,0,0,0,0.0,0,0,0,0,0,-7.06e-05,0,0,0.0,0.008894111,0.0,0,0,0,0.0,0,0.0,-0.003144732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.069461449,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7.06e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.00086,0,0.0,0,0.0,0,0,0.0,0.891383787,0,0,0,0,0,0,0,-0.003090351,0.073729502,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.06e-05,0.0,0.0,0.0,0,0,0,-0.054761031,0,0,0,0.010063718,0.0,0.0,0,0,-0.0110478,0,0.0,0.0,0,-0.043855046,0.019902355,0.0,0.0,-7.06e-05,0.0,0,0.0,0,1.95e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000282,0,0.0,0,0,0,0.0,-0.002878983,0,0,0.0,0,0,0,0,-0.002878088,-0.070797764,0,0,-7.06e-05,0.0,-7.06e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-7.06e-05,0.0,0,-0.001080082,0,0,0.008894111,0.008894111,0.008894111,0,0,-7.06e-05,0,0.0,0,0.0,0,0,0.0,0,-0.05767543,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
986,53,0,0,0,0,0,0.0,0,0,0,0,0,-7.53e-05,0,0,0.0,0.009478481,0.0,0,0,0,0.0,0,0.0,-0.00335135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.07505928,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7.53e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000916,0,0.0,0,0.0,0,0,0.0,0.953944168,0,0,0,0,0,0,0,-0.003293397,0.079607758,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.53e-05,0.0,0.0,0.0,0,0,0,-0.058186116,0,0,0,0.009484798,0.0,0.0,0,0,-0.011773674,0,0.0,0.0,0,-0.050665183,0.021146861,0.0,0.0,-7.53e-05,0.0,0,0.0,0,1.89e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000301,0,0.0,0,0,0,0.0,-0.003068141,0,0,0.0,0,0,0,0,-0.003067188,-0.07453235,0,0,-7.53e-05,0.0,-7.53e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-7.53e-05,0.0,0,-0.001151047,0,0,0.009478481,0.009478481,0.009478481,0,0,-7.53e-05,0,0.0,0,0.0,0,0,0.0,0,-0.060149122,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1000,54,0,0,0,0,0,0.0,0,0,0,0,0,-7.95e-05,0,0,0.0,0.010017122,0.0,0,0,0,0.0,0,0.0,-0.0035418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.080429206,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7.95e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000968,0,0.0,0,0.0,0,0,0.0,1.012399894,0,0,0,0,0,0,0,-0.003480553,0.085236164,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.95e-05,0.0,0.0,0.0,0,0,0,-0.061147052,0,0,0,0.008555611,0.0,0.0,0,0,-0.012442746,0,0.0,0.0,0,-0.057747618,0.02230826,0.0,0.0,-7.95e-05,0.0,0,0.0,0,1.84e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000318,0,0.0,0,0,0,0.0,-0.003242497,0,0,0.0,0,0,0,0,-0.003241489,-0.077800661,0,0,-7.95e-05,0.0,-7.95e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-7.95e-05,0.0,0,-0.001216459,0,0,0.010017122,0.010017122,0.010017122,0,0,-7.95e-05,0,0.0,0,0.0,0,0,0.0,0,-0.062229389,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1014,55,0,0,0,0,0,0.0,0,0,0,0,0,-8.34e-05,0,0,0.0,0.010507126,0.0,0,0,0,0.0,0,0.0,-0.003715053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.08553917,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-8.34e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.001015538,0,0.0,0,0.0,0,0,0.0,1.066426076,0,0,0,0,0,0,0,-0.00365081,0.090581267,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.34e-05,0.0,0.0,0.0,0,0,0,-0.063623123,0,0,0,0.007280516,0.0,0.0,0,0,-0.013051404,0,0.0,0.0,0,-0.065055501,0.023380354,0.0,0.0,-8.34e-05,0.0,0,0.0,0,1.85e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000334,0,0.0,0,0,0,0.0,-0.003401109,0,0,0.0,0,0,0,0,-0.003400052,-0.080595,0,0,-8.34e-05,0.0,-8.34e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-8.34e-05,0.0,0,-0.001275964,0,0,0.010507126,0.010507126,0.010507126,0,0,-8.34e-05,0,0.0,0,0.0,0,0,0.0,0,-0.063904876,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1028,56,0,0,0,0,0,0.0,0,0,0,0,0,-8.69e-05,0,0,0.0,0.010945779,0.0,0,0,0,0.0,0,0.0,-0.003870149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.090354764,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-8.69e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.001057935,0,0.0,0,0.0,0,0,0.0,1.115701955,0,0,0,0,0,0,0,-0.003803225,0.09560736,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.69e-05,0.0,0.0,0.0,0,0,0,-0.065596092,0,0,0,0.00567065,0.0,0.0,0,0,-0.013596275,0,0.0,0.0,0,-0.072525436,0.024357192,0.0,0.0,-8.69e-05,0.0,0,0.0,0,1.79e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000348,0,0.0,0,0,0,0.0,-0.003543098,0,0,0.0,0,0,0,0,-0.003541998,-0.082910378,0,0,-8.69e-05,0.0,-8.69e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-8.69e-05,0.0,0,-0.001329233,0,0,0.010945779,0.010945779,0.010945779,0,0,-8.69e-05,0,0.0,0,0.0,0,0,0.0,0,-0.065174027,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1042,57,0,0,0,0,0,0.0,0,0,0,0,0,-9e-05,0,0,0.0,0.011330746,0.0,0,0,0,0.0,0,0.0,-0.004006264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.094836459,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-9e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.001095143,0,0.0,0,0.0,0,0,0.0,1.159908077,0,0,0,0,0,0,0,-0.003936985,0.10027379,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-9e-05,0.0,0.0,0.0,0,0,0,-0.067051224,0,0,0,0.003746075,0.0,0.0,0,0,-0.014074461,0,0.0,0.0,0,-0.080061648,0.025233288,0.0,0.0,-9e-05,0.0,0,0.0,0,1.81e-05,0,0,0,0.0,0.0,0.0,0,0,-0.00036,0,0.0,0,0,0,0.0,-0.00366771,0,0,0.0,0,0,0,0,-0.003666571,-0.084742902,0,0,-9e-05,0.0,-9e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-9e-05,0.0,0,-0.001375982,0,0,0.011330746,0.011330746,0.011330746,0,0,-9e-05,0,0.0,0,0.0,0,0,0.0,0,-0.06605621,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1056,58,0,0,0,0,0,0.0,0,0,0,0,0,-9.27e-05,0,0,0.0,0.011681248,0.0,0,0,0,0.0,0,0.0,-0.004130193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.098896819,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-9.27e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.001129019,0,0.0,0,0.0,0,0,0.0,1.200305035,0,0,0,0,0,0,0,-0.004058771,0.104502347,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-9.27e-05,0.0,0.0,0.0,0,0,0,-0.067989268,0,0,0,0.001708022,0.0,0.0,0,0,-0.014509837,0,0.0,0.0,0,-0.087082415,0.026042015,0.0,0.0,-9.27e-05,0.0,0,0.0,0,1.8e-05,0,0,0,0.0,0.0,0.0,0,0,-0.000371,0,0.0,0,0,0,0.0,-0.003781167,0,0,0.0,0,0,0,0,-0.003779992,-0.087011225,0,0,-9.27e-05,0.0,-9.27e-05,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-9.27e-05,0.0,0,-0.001418547,0,0,0.011681248,0.011681248,0.011681248,0,0,-9.27e-05,0,0.0,0,0.0,0,0,0.0,0,-0.066553439,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
