,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
689,41,0,0,0,0,0,0.0,0,0,0,0,0,-9.94e-06,0,0,0.0,0.003541038,0.0,0,0,0,9.94e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-9.94e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.067910738,0,0.0,0,0.0,0,0,0.0,0.198805979,0,0,0,0,0,0,0,0.0,0.0,0,2.98e-05,0,9.94e-06,0,0,0,0,0,0,0,0,-9.94e-06,0.0,-0.052642109,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.002877335,0,0.0,0.0,0,0.0,0.176191411,0.0,-0.030335058,-9.94e-06,0.0,0,-0.068702482,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-3.97e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-9.94e-06,0.0,-9.94e-06,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-9.94e-06,0.0,0,0.0,0,0,0.003541038,0.003541038,0.003541038,0,0,-9.94e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
699,42,0,0,0,0,0,0.0,0,0,0,0,0,-1.52e-05,0,0,0.0,0.005424943,0.0,0,0,0,1.52e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.01e-07,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.05062762,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.57e-05,0,1.52e-05,0,0,0,0,0,0,0,0,-1.52e-05,0.0,-0.053026625,0.034749065,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.177351495,0.0,0.0,-1.52e-05,-0.002204068,0,-3.04e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-6.09e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.004365143,0,0,0,0,0.0,0.0,0,0,-1.52e-05,0.0,-1.52e-05,0,0,-0.00067,0,-0.000838,-0.000256,0,0,0,1e-05,0.0,0,0,0.0,-1.52e-05,0.0,0,-0.000709,0,0,0.005424943,0.005424943,0.005424943,0,0,-1.52e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,-0.000474,0,0,0.0,0,0,0,0,0,0,0
713,43,0,0,0,0,0,0.0,0,0,0,0,0,-1.91e-05,0,0,0.0,0.006793913,0.0,0,0,0,1.91e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.16e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.91e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.056801164,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,5.72e-05,0,1.91e-05,0,0,0,0,0,0,0,0,-1.91e-05,0.0,-0.057107739,0.033294628,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.176799938,0.0,0.0,-1.91e-05,-0.002760259,0,-3.81e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-7.63e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.016368426,0,0,0,0,0.0,0.0,0,0,-1.91e-05,0.0,-1.91e-05,0,0,-0.000839,0,-0.001049792,-0.000321,0,0,0,1e-05,0.0,0,0,0.0,-1.91e-05,0.0,0,-0.000887,0,0,0.006793913,0.006793913,0.006793913,0,0,-1.91e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.81e-05,-0.000594,0,0,0.0,0,0,0,0,0,0,0
727,44,0,0,0,0,0,0.0,0,0,0,0,0,-1.95e-05,0,0,0.0,0.006933041,0.0,0,0,0,1.95e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.59e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.95e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.05567312,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,5.84e-05,0,1.95e-05,0,0,0,0,0,0,0,0,-1.95e-05,0.0,-0.055052928,0.030413023,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.164640066,0.0,0.0,-1.95e-05,-0.002816784,0,-3.89e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-7.78e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.020520591,0,0,0,0,0.0,0.0,0,0,-1.95e-05,0.0,-1.95e-05,0,0,-0.000856,0,-0.00107129,-0.000327,0,0,0,1e-05,0.0,0,0,0.0,-1.95e-05,0.0,0,-0.000906,0,0,0.006933041,0.006933041,0.006933041,0,0,-1.95e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.89e-05,-0.000606,0,0,0.0,0,0,0,0,0,0,0
741,45,0,0,0,0,0,0.0,0,0,0,0,0,-1.86e-05,0,0,0.0,0.006624462,0.0,0,0,0,1.86e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.86e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.86e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.052786316,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,5.58e-05,0,1.86e-05,0,0,0,0,0,0,0,0,-1.86e-05,0.0,-0.052027673,0.028424078,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.15449878,0.0,0.0,-1.86e-05,-0.002691414,0,-3.72e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-7.44e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.020286867,0,0,0,0,0.0,0.0,0,0,-1.86e-05,0.0,-1.86e-05,0,0,-0.000818,0,-0.001023609,-0.000313,0,0,0,1e-05,0.0,0,0,0.0,-1.86e-05,0.0,0,-0.000865,0,0,0.006624462,0.006624462,0.006624462,0,0,-1.86e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.72e-05,-0.000579,0,0,0.0,0,0,0,0,0,0,0
755,46,0,0,0,0,0,0.0,0,0,0,0,0,-1.76e-05,0,0,0.0,0.006283716,0.0,0,0,0,1.76e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.9e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.04999771,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,5.29e-05,0,1.76e-05,0,0,0,0,0,0,0,0,-1.76e-05,0.0,-0.049248497,0.026848195,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.14604759,0.0,0.0,-1.76e-05,-0.002552974,0,-3.53e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-7.05e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.019364726,0,0,0,0,0.0,0.0,0,0,-1.76e-05,0.0,-1.76e-05,0,0,-0.000776,0,-0.000971,-0.000297,0,0,0,1e-05,0.0,0,0,0.0,-1.76e-05,0.0,0,-0.000821,0,0,0.006283716,0.006283716,0.006283716,0,0,-1.76e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.53e-05,-0.000549,0,0,0.0,0,0,0,0,0,0,0
769,47,0,0,0,0,0,0.0,0,0,0,0,0,-1.69e-05,0,0,0.0,0.006018553,0.0,0,0,0,1.69e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.82e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.04774637,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,5.07e-05,0,1.69e-05,0,0,0,0,0,0,0,0,-1.69e-05,0.0,-0.046971254,0.025495221,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.138910043,0.0,0.0,-1.69e-05,-0.002445242,0,-3.38e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-6.76e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.018783103,0,0,0,0,0.0,0.0,0,0,-1.69e-05,0.0,-1.69e-05,0,0,-0.000743,0,-0.00093,-0.000284,0,0,0,1e-05,0.0,0,0,0.0,-1.69e-05,0.0,0,-0.000786,0,0,0.006018553,0.006018553,0.006018553,0,0,-1.69e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.38e-05,-0.000526,0,0,0.0,0,0,0,0,0,0,0
783,48,0,0,0,0,0,0.0,0,0,0,0,0,-1.63e-05,0,0,0.0,0.005816906,0.0,0,0,0,1.63e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.7e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.045947668,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.9e-05,0,1.63e-05,0,0,0,0,0,0,0,0,-1.63e-05,0.0,-0.045117478,0.024331437,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.132884751,0.0,0.0,-1.63e-05,-0.002363316,0,-3.26e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-6.53e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.0184855,0,0,0,0,0.0,0.0,0,0,-1.63e-05,0.0,-1.63e-05,0,0,-0.000718,0,-0.000899,-0.000275,0,0,0,1e-05,0.0,0,0,0.0,-1.63e-05,0.0,0,-0.00076,0,0,0.005816906,0.005816906,0.005816906,0,0,-1.63e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.26e-05,-0.000508,0,0,0.0,0,0,0,0,0,0,0
797,49,0,0,0,0,0,0.0,0,0,0,0,0,-1.59e-05,0,0,0.0,0.00566722,0.0,0,0,0,1.59e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.57e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.59e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.044521624,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.77e-05,0,1.59e-05,0,0,0,0,0,0,0,0,-1.59e-05,0.0,-0.043613492,0.023326151,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.127785891,0.0,0.0,-1.59e-05,-0.002302502,0,-3.18e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-6.36e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.018416191,0,0,0,0,0.0,0.0,0,0,-1.59e-05,0.0,-1.59e-05,0,0,-0.0007,0,-0.000876,-0.000268,0,0,0,1e-05,0.0,0,0,0.0,-1.59e-05,0.0,0,-0.00074,0,0,0.00566722,0.00566722,0.00566722,0,0,-1.59e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.18e-05,-0.000495,0,0,0.0,0,0,0,0,0,0,0
939,50,0,0,0,0,0,0.0,0,0,0,0,0,-1.56e-05,0,0,0.0,0.005555152,0.0,0,0,0,1.56e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.52e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.56e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.043371931,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.68e-05,0,1.56e-05,0,0,0,0,0,0,0,0,-1.56e-05,0.0,-0.042372085,0.022446002,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.12340381,0.0,0.0,-1.56e-05,-0.00225697,0,-3.12e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-6.24e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.018500776,0,0,0,0,0.0,0.0,0,0,-1.56e-05,0.0,-1.56e-05,0,0,-0.000686,0,-0.000858,-0.000262,0,0,0,1e-05,0.0,0,0,0.0,-1.56e-05,0.0,0,-0.000726,0,0,0.005555152,0.005555152,0.005555152,0,0,-1.56e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.12e-05,-0.000485,0,0,0.0,0,0,0,0,0,0,0
953,51,0,0,0,0,0,0.0,0,0,0,0,0,-1.53e-05,0,0,0.0,0.005468288,0.0,0,0,0,1.53e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.44e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.042417798,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.6e-05,0,1.53e-05,0,0,0,0,0,0,0,0,-1.53e-05,0.0,-0.041321141,0.021665701,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.11957279,0.0,0.0,-1.53e-05,-0.002221678,0,-3.07e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-6.14e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.018671565,0,0,0,0,0.0,0.0,0,0,-1.53e-05,0.0,-1.53e-05,0,0,-0.000675,0,-0.000845,-0.000258,0,0,0,1e-05,0.0,0,0,0.0,-1.53e-05,0.0,0,-0.000714,0,0,0.005468288,0.005468288,0.005468288,0,0,-1.53e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.07e-05,-0.000478,0,0,0.0,0,0,0,0,0,0,0
967,52,0,0,0,0,0,0.0,0,0,0,0,0,-1.51e-05,0,0,0.0,0.005398833,0.0,0,0,0,1.51e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.34e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.51e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.041604459,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.54e-05,0,1.51e-05,0,0,0,0,0,0,0,0,-1.51e-05,0.0,-0.040409812,0.020963282,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.11616189,0.0,0.0,-1.51e-05,-0.00219346,0,-3.03e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-6.06e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.018892313,0,0,0,0,0.0,0.0,0,0,-1.51e-05,0.0,-1.51e-05,0,0,-0.000667,0,-0.000834,-0.000255,0,0,0,1e-05,0.0,0,0,0.0,-1.51e-05,0.0,0,-0.000705,0,0,0.005398833,0.005398833,0.005398833,0,0,-1.51e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3.03e-05,-0.000472,0,0,0.0,0,0,0,0,0,0,0
981,53,0,0,0,0,0,0.0,0,0,0,0,0,-1.5e-05,0,0,0.0,0.005339603,0.0,0,0,0,1.5e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.24e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.040883813,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.5e-05,0,1.5e-05,0,0,0,0,0,0,0,0,-1.5e-05,0.0,-0.039594564,0.020322168,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.113066667,0.0,0.0,-1.5e-05,-0.002169396,0,-3e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-5.99e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.019125718,0,0,0,0,0.0,0.0,0,0,-1.5e-05,0.0,-1.5e-05,0,0,-0.000659,0,-0.000825,-0.000252,0,0,0,1e-05,0.0,0,0,0.0,-1.5e-05,0.0,0,-0.000697,0,0,0.005339603,0.005339603,0.005339603,0,0,-1.5e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-3e-05,-0.000467,0,0,0.0,0,0,0,0,0,0,0
995,54,0,0,0,0,0,0.0,0,0,0,0,0,-1.48e-05,0,0,0.0,0.005285985,0.0,0,0,0,1.48e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.15e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.040223996,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.45e-05,0,1.48e-05,0,0,0,0,0,0,0,0,-1.48e-05,0.0,-0.03884607,0.019730206,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.110213361,0.0,0.0,-1.48e-05,-0.002147612,0,-2.97e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-5.93e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.019349439,0,0,0,0,0.0,0.0,0,0,-1.48e-05,0.0,-1.48e-05,0,0,-0.000653,0,-0.000817,-0.00025,0,0,0,1e-05,0.0,0,0,0.0,-1.48e-05,0.0,0,-0.00069,0,0,0.005285985,0.005285985,0.005285985,0,0,-1.48e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-2.97e-05,-0.000462,0,0,0.0,0,0,0,0,0,0,0
1009,55,0,0,0,0,0,0.0,0,0,0,0,0,-1.47e-05,0,0,0.0,0.005240545,0.0,0,0,0,1.47e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.06e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.47e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.039640682,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.41e-05,0,1.47e-05,0,0,0,0,0,0,0,0,-1.47e-05,0.0,-0.038177761,0.01919097,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.107628905,0.0,0.0,-1.47e-05,-0.00212915,0,-2.94e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-5.88e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.019579303,0,0,0,0,0.0,0.0,0,0,-1.47e-05,0.0,-1.47e-05,0,0,-0.000647,0,-0.00081,-0.000247,0,0,0,1e-05,0.0,0,0,0.0,-1.47e-05,0.0,0,-0.000684,0,0,0.005240545,0.005240545,0.005240545,0,0,-1.47e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-2.94e-05,-0.000458,0,0,0.0,0,0,0,0,0,0,0
1023,56,0,0,0,0,0,0.0,0,0,0,0,0,-1.46e-05,0,0,0.0,0.00519835,0.0,0,0,0,1.46e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-9.83e-07,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.039100476,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.38e-05,0,1.46e-05,0,0,0,0,0,0,0,0,-1.46e-05,0.0,-0.037559222,0.018692505,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.105239024,0.0,0.0,-1.46e-05,-0.002112007,0,-2.92e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-5.83e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.019790328,0,0,0,0,0.0,0.0,0,0,-1.46e-05,0.0,-1.46e-05,0,0,-0.000642,0,-0.000803,-0.000245,0,0,0,1e-05,0.0,0,0,0.0,-1.46e-05,0.0,0,-0.000679,0,0,0.00519835,0.00519835,0.00519835,0,0,-1.46e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-2.92e-05,-0.000454,0,0,0.0,0,0,0,0,0,0,0
1037,57,0,0,0,0,0,0.0,0,0,0,0,0,-1.45e-05,0,0,0.0,0.005150904,0.0,0,0,0,1.45e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.22e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.038554302,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4.34e-05,0,1.45e-05,0,0,0,0,0,0,0,0,-1.45e-05,0.0,-0.036950316,0.018227922,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.102976784,0.0,0.0,-1.45e-05,-0.00209273,0,-2.89e-05,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-5.78e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.019923973,0,0,0,0,0.0,0.0,0,0,-1.45e-05,0.0,-1.45e-05,0,0,-0.000636,0,-0.000796,-0.000243,0,0,0,1e-05,0.0,0,0,0.0,-1.45e-05,0.0,0,-0.000673,0,0,0.005150904,0.005150904,0.005150904,0,0,-1.45e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,-2.89e-05,-0.00045,0,0,0.0,0,0,0,0,0,0,0
