,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
694,41,0,0,0,0,0,0.0,0,0,0,0,0,-2.94e-06,0,0,0.0,0.001046765,0.0,0,0,0,2.94e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.94e-06,0,0,0,0.0,0,0,0,0,0,8.53e-05,-0.000452,0,0.0,0,0.0,0,0,0.0,0.031499348,0,0,0,0,0,0,0,0.0,0.0,0,8.81e-06,0,2.94e-06,0,0,0,0,0,0,0,0,-2.94e-06,0.0,-0.008032942,0.0,0,0,0,0.0,0,0,0,0.0,0.000793,0.0,0,0,-0.000851,0,0.0,0.0,0,0.0,0.001480402,0.0,-0.010153203,-2.94e-06,0.0,0,-2.94e-06,0,3e-05,0,0,0,0.0,0.0,0.0,0,0,-1.17e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.94e-06,0.0,-2.94e-06,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-2.94e-06,0.0,0,0.00022,0,0,0.001046765,0.001046765,0.001046765,0,0,-2.94e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
708,42,0,0,0,0,0,0.0,0,0,0,0,0,-4.74e-06,0,0,0.0,0.001687471,0.0,0,0,0,4.74e-06,0,0.0,-0.000408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.91e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4.74e-06,0,0,0,0.0,0,0,0,0,0,-8.3e-07,-0.00064,0,-0.000134,0,0.0,0,0,0.0,0.019679053,0,0,0,0,0,0,0,-0.003032611,0.0,0,1.42e-05,0,4.74e-06,0,0,0,0,0,0,0,0,-4.74e-06,0.0,-0.004424909,0.0,0,0,0,0.000956,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,-0.002370738,0.001757245,0.0,0.0,-4.74e-06,-0.000686,0,0.000631,0,-1.07e-05,0,0,0,-0.000356,0.0,0.0,0,0,-1.89e-05,0,0.0,0,0,0,0.0,-0.000482,0,0,0.0,0,0,0,0,0.001382944,-0.002370738,0,0,-4.74e-06,0.0,-4.74e-06,0,0,-0.000208,0,-0.000261,-7.97e-05,0,0,0,1e-05,0.0,0,0,0.0,-4.74e-06,0.0,0,-0.00022,0,0,0.001687471,0.001687471,0.001687471,0,0,-4.74e-06,0,0.0,0,0.0,0,0,-0.000425,0,-0.001119773,0,0,0,0,0,0,0.0,0.000412,-0.000147,0,0,0.0,0,0,0,0,0,0,0
722,43,0,0,0,0,0,0.0,0,0,0,0,0,-5.77e-06,0,0,0.0,0.00205781,0.0,0,0,0,5.77e-06,0,0.0,-0.000498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-3.8e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.77e-06,0,0,0,0.0,0,0,0,0,0,-5.77e-06,-1.15e-05,0,-0.000163,0,0.0,0,0,0.0,0.018986247,0,0,0,0,0,0,0,-0.005504354,-1.7e-05,0,1.73e-05,0,5.77e-06,0,0,0,0,0,0,0,0,-5.77e-06,0.0,-0.00277294,-5.77e-06,0,0,0,0.0,0,0,0,0.0,-0.002936199,0.0,0,0,0.0,0,0.0,0.0,0,-0.002399286,0.001985085,0.0,0.0,-5.77e-06,-0.000836,0,0.0,0,8.57e-06,0,0,0,-0.000434,0.0,0.0,0,0,-2.31e-05,0,0.0,0,0,0,0.0,-0.000587,0,0,0.0,0,0,0,0,0.003514245,-0.004549277,0,0,-5.77e-06,0.0,-5.77e-06,0,0,-0.000254,0,-0.000318,-9.71e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.77e-06,0.0,0,-0.000269,0,0,0.00205781,0.00205781,0.00205781,0,0,-5.77e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.000481,-0.00018,0,0,0.0,0,0,0,0,0,0,0
736,44,0,0,0,0,0,0.0,0,0,0,0,0,-5.8e-06,0,0,0.0,0.002065544,0.0,0,0,0,5.8e-06,0,0.0,-0.000499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-5.37e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.8e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000529,0,-0.000164,0,0.0,0,0,0.0,0.016249554,0,0,0,0,0,0,0,-0.007111152,-0.000219,0,1.74e-05,0,5.8e-06,0,0,0,0,0,0,0,0,-5.8e-06,0.0,-0.002897307,-5.8e-06,0,0,0,0.0,0,0,0,0.0,-0.003482185,0.0,0,0,0.0,0,0.0,0.0,0,-0.004429805,0.002107617,0.0,0.0,-5.8e-06,-0.000839,0,0.000518,0,8.61e-06,0,0,0,-0.000436,-2.32e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.00059,0,0,0.0,0,0,0,0,0.005113569,0.0,0,0,-5.8e-06,0.0,-5.8e-06,0,0,-0.000255,0,-0.000319,-9.75e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.8e-06,0.0,0,-0.00027,0,0,0.002065544,0.002065544,0.002065544,0,0,-5.8e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.000483,-0.00018,0,0,0.0,0,0,0,0,0,0,0
750,45,0,0,0,0,0,0.0,0,0,0,0,0,-5.59e-06,0,0,0.0,0.001991772,0.0,0,0,0,5.59e-06,0,0.0,-0.000482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.45e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.59e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.00058,0,-0.000158,0,0.0,0,0,0.0,0.015416195,0,0,0,0,0,0,0,-0.006793004,-0.000406,0,1.68e-05,0,5.59e-06,0,0,0,0,0,0,0,0,-5.59e-06,0.0,-0.002738691,-5.59e-06,0,0,0,0.0,0,0,0,0.0,-0.003276255,0.0,0,0,0.0,0,0.0,0.0,0,-0.004312367,0.002233363,0.0,0.0,-5.59e-06,-0.000809,0,0.000569,0,2.85e-05,0,0,0,-0.00042,-2.24e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000569,0,0,0.0,0,0,0,0,0.004886943,0.0,0,0,-5.59e-06,0.0,-5.59e-06,0,0,-0.000246,0,-0.000308,-9.4e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.59e-06,0.0,0,-0.00026,0,0,0.001991772,0.001991772,0.001991772,0,0,-5.59e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.000446,-0.000174,0,0,0.0,0,0,0,0,0,0,0
764,46,0,0,0,0,0,0.0,0,0,0,0,0,-5.41e-06,0,0,0.0,0.001927826,0.0,0,0,0,5.41e-06,0,0.0,-0.000466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.8e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.41e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000674,0,-0.000153,0,0.0,0,0,0.0,0.014532206,0,0,0,0,0,0,0,-0.006560389,-0.000638,0,1.62e-05,0,5.41e-06,0,0,0,0,0,0,0,0,-5.41e-06,0.0,-0.002555509,-5.41e-06,0,0,0,0.0,0,0,0,0.0,-0.003090345,0.0,0,0,0.0,0,0.0,0.0,0,-0.004214277,0.002314704,0.0,0.0,-5.41e-06,-0.000783,0,0.000664,0,2.79e-05,0,0,0,-0.000407,-2.16e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.00055,0,0,0.0,0,0,0,0,0.004715825,0.0,0,0,-5.41e-06,0.0,-5.41e-06,0,0,-0.000238,0,-0.000298,-9.1e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.41e-06,0.0,0,-0.000252,0,0,0.001927826,0.001927826,0.001927826,0,0,-5.41e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.000431,-0.000168,0,0,0.0,0,0,0,0,0,0,0
778,47,0,0,0,0,0,0.0,0,0,0,0,0,-5.3e-06,0,0,0.0,0.00188707,0.0,0,0,0,5.3e-06,0,0.0,-0.000456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.72e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000811,0,-0.00015,0,0.0,0,0,0.0,0.013693647,0,0,0,0,0,0,0,-0.006453571,-0.000913,0,1.59e-05,0,5.3e-06,0,0,0,0,0,0,0,0,-5.3e-06,0.0,-0.002361639,-5.3e-06,0,0,0,0.0,0,0,0,0.0,-0.002943064,0.0,0,0,0.0,0,0.0,0.0,0,-0.004166158,0.002367197,0.0,0.0,-5.3e-06,-0.000767,0,0.0008,0,2.8e-05,0,0,0,-0.000398,-2.12e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000539,0,0,0.0,0,0,0,0,0.004648693,0.0,0,0,-5.3e-06,0.0,-5.3e-06,0,0,-0.000233,0,-0.000292,-8.91e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.3e-06,0.0,0,-0.000246,0,0,0.00188707,0.00188707,0.00188707,0,0,-5.3e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.000421,-0.000165,0,0,0.0,0,0,0,0,0,0,0
792,48,0,0,0,0,0,0.0,0,0,0,0,0,-5.25e-06,0,0,0.0,0.001869318,0.0,0,0,0,5.25e-06,0,0.0,-0.000452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.46e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.25e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000977,0,-0.000148,0,0.0,0,0,0.0,0.012948546,0,0,0,0,0,0,0,-0.006444391,-0.001225597,0,1.57e-05,0,5.25e-06,0,0,0,0,0,0,0,0,-5.25e-06,0.0,-0.002174584,-5.25e-06,0,0,0,0.0,0,0,0,0.0,-0.002828274,0.0,0,0,0.0,0,0.0,0.0,0,-0.004170519,0.002432733,0.0,0.0,-5.25e-06,-0.000759,0,0.000966,0,2.79e-05,0,0,0,-0.000395,-2.1e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000534,0,0,0.0,0,0,0,0,0.004656675,0.0,0,0,-5.25e-06,0.0,-5.25e-06,0,0,-0.000231,0,-0.000289,-8.82e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.25e-06,0.0,0,-0.000244,0,0,0.001869318,0.001869318,0.001869318,0,0,-5.25e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.000417,-0.000163,0,0,0.0,0,0,0,0,0,0,0
806,49,0,0,0,0,0,0.0,0,0,0,0,0,-5.25e-06,0,0,0.0,0.001871042,0.0,0,0,0,5.25e-06,0,0.0,-0.000452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.14e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.25e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.001172115,0,-0.000148,0,0.0,0,0,0.0,0.012266599,0,0,0,0,0,0,0,-0.006520687,-0.001577974,0,1.58e-05,0,5.25e-06,0,0,0,0,0,0,0,0,-5.25e-06,0.0,-0.001988751,-5.25e-06,0,0,0,0.0,0,0,0,0.0,-0.002739544,0.0,0,0,0.0,0,0.0,0.0,0,-0.004220036,0.002508512,0.0,0.0,-5.25e-06,-0.00076,0,0.001161614,0,2.77e-05,0,0,0,-0.000395,-2.1e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000534,0,0,0.0,0,0,0,0,0.004731074,0.0,0,0,-5.25e-06,0.0,-5.25e-06,0,0,-0.000231,0,-0.000289,-8.83e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.25e-06,0.0,0,-0.000244,0,0,0.001871042,0.001871042,0.001871042,0,0,-5.25e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.000418,-0.000163,0,0,0.0,0,0,0,0,0,0,0
948,50,0,0,0,0,0,0.0,0,0,0,0,0,-5.3e-06,0,0,0.0,0.001887976,0.0,0,0,0,5.3e-06,0,0.0,-0.000457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.11e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.001260813,0,-0.00015,0,0.0,0,0,0.0,0.012080468,0,0,0,0,0,0,0,-0.006686352,-0.001992937,0,1.59e-05,0,5.3e-06,0,0,0,0,0,0,0,0,-5.3e-06,0.0,-0.001991754,-5.3e-06,0,0,0,0.0,0,0,0,0.0,-0.002448389,0.0,0,0,0.0,0,0.0,0.0,0,-0.00377889,0.00256333,0.0,0.0,-5.3e-06,-0.000767,0,0.001250217,0,2.72e-05,0,0,0,-0.000399,-2.12e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000539,0,0,0.0,0,0,0,0,0.004879837,0.0,0,0,-5.3e-06,0.0,-5.3e-06,0,0,-0.000233,0,-0.000292,-8.91e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.3e-06,0.0,0,-0.000247,0,0,0.001887976,0.001887976,0.001887976,0,0,-5.3e-06,0,0.0,0,0.0,0,0,-0.000319,0,0.0,0,0,0,0,0,0,0.0,0.000422,-0.000165,0,0,0.0,0,0,0,0,0,0,0
962,51,0,0,0,0,0,0.0,0,0,0,0,0,-5.37e-06,0,0,0.0,0.001914409,0.0,0,0,0,5.37e-06,0,0.0,-0.000463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-5.94e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.37e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.001306868,0,-0.000152,0,0.0,0,0,0.0,0.012137302,0,0,0,0,0,0,0,-0.006835472,-0.002192722,0,1.61e-05,0,5.37e-06,0,0,0,0,0,0,0,0,-5.37e-06,0.0,-0.00201964,-5.37e-06,0,0,0,0.0,0,0,0,0.0,-0.002337479,0.0,0,0,0.0,0,0.0,0.0,0,-0.003595329,0.002596837,0.0,0.0,-5.37e-06,-0.000778,0,0.001296123,0,2.73e-05,0,0,0,-0.000404,-2.15e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000546,0,0,0.0,0,0,0,0,0.005003405,0.0,0,0,-5.37e-06,0.0,-5.37e-06,0,0,-0.000236,0,-0.000296,-9.04e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.37e-06,0.0,0,-0.00025,0,0,0.001914409,0.001914409,0.001914409,0,0,-5.37e-06,0,0.0,0,0.0,0,0,-0.000478,0,0.0,0,0,0,0,0,0,0.0,0.000428,-0.000167,0,0,0.0,0,0,0,0,0,0,0
976,52,0,0,0,0,0,0.0,0,0,0,0,0,-5.47e-06,0,0,0.0,0.001949365,0.0,0,0,0,5.47e-06,0,0.0,-0.000471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-5.7e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.47e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.001329638,0,-0.000155,0,0.0,0,0,0.0,0.012362096,0,0,0,0,0,0,0,-0.006964846,-0.002227122,0,1.64e-05,0,5.47e-06,0,0,0,0,0,0,0,0,-5.47e-06,0.0,-0.002056518,-5.47e-06,0,0,0,0.0,0,0,0,0.0,-0.002383241,0.0,0,0,0.0,0,0.0,0.0,0,-0.003659441,0.00263412,0.0,0.0,-5.47e-06,-0.000792,0,0.001318698,0,2.74e-05,0,0,0,-0.000411,-2.19e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000556,0,0,0.0,0,0,0,0,0.00509887,0.0,0,0,-5.47e-06,0.0,-5.47e-06,0,0,-0.000241,0,-0.000301,-9.2e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.47e-06,0.0,0,-0.000255,0,0,0.001949365,0.001949365,0.001949365,0,0,-5.47e-06,0,0.0,0,0.0,0,0,-0.000486,0,0.0,0,0,0,0,0,0,0.0,0.000437,-0.00017,0,0,0.0,0,0,0,0,0,0,0
990,53,0,0,0,0,0,0.0,0,0,0,0,0,-5.59e-06,0,0,0.0,0.001990611,0.0,0,0,0,5.59e-06,0,0.0,-0.000481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-5.44e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.59e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.001356147,0,-0.000158,0,0.0,0,0,0.0,0.012628401,0,0,0,0,0,0,0,-0.007119089,-0.002265755,0,1.68e-05,0,5.59e-06,0,0,0,0,0,0,0,0,-5.59e-06,0.0,-0.002100031,-5.59e-06,0,0,0,0.0,0,0,0,0.0,-0.0024383,0.0,0,0,0.0,0,0.0,0.0,0,-0.003734555,0.002674564,0.0,0.0,-5.59e-06,-0.000809,0,0.001344975,0,2.73e-05,0,0,0,-0.00042,-2.23e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000568,0,0,0.0,0,0,0,0,0.005212934,0.0,0,0,-5.59e-06,0.0,-5.59e-06,0,0,-0.000246,0,-0.000308,-9.4e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.59e-06,0.0,0,-0.00026,0,0,0.001990611,0.001990611,0.001990611,0,0,-5.59e-06,0,0.0,0,0.0,0,0,-0.000497,0,0.0,0,0,0,0,0,0,0.0,0.000447,-0.000174,0,0,0.0,0,0,0,0,0,0,0
1004,54,0,0,0,0,0,0.0,0,0,0,0,0,-5.72e-06,0,0,0.0,0.002036655,0.0,0,0,0,5.72e-06,0,0.0,-0.000492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-5.18e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.72e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.001385538,0,-0.000161,0,0.0,0,0,0.0,0.012926177,0,0,0,0,0,0,0,-0.007291906,-0.002307992,0,1.71e-05,0,5.72e-06,0,0,0,0,0,0,0,0,-5.72e-06,0.0,-0.002148606,-5.72e-06,0,0,0,0.0,0,0,0,0.0,-0.002500204,0.0,0,0,0.0,0,0.0,0.0,0,-0.003818187,0.002718216,0.0,0.0,-5.72e-06,-0.000827,0,0.001374107,0,2.72e-05,0,0,0,-0.00043,-2.29e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000581,0,0,0.0,0,0,0,0,0.005340937,0.0,0,0,-5.72e-06,0.0,-5.72e-06,0,0,-0.000251,0,-0.000315,-9.61e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.72e-06,0.0,0,-0.000266,0,0,0.002036655,0.002036655,0.002036655,0,0,-5.72e-06,0,0.0,0,0.0,0,0,-0.000508,0,0.0,0,0,0,0,0,0,0.0,0.000458,-0.000178,0,0,0.0,0,0,0,0,0,0,0
1018,55,0,0,0,0,0,0.0,0,0,0,0,0,-5.85e-06,0,0,0.0,0.002083837,0.0,0,0,0,5.85e-06,0,0.0,-0.000504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-4.93e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.85e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.001416011,0,-0.000165,0,0.0,0,0,0.0,0.013230248,0,0,0,0,0,0,0,-0.007467405,-0.002353222,0,1.75e-05,0,5.85e-06,0,0,0,0,0,0,0,0,-5.85e-06,0.0,-0.002198381,-5.85e-06,0,0,0,0.0,0,0,0,0.0,-0.002562577,0.0,0,0,0.0,0,0.0,0.0,0,-0.003904415,0.002766485,0.0,0.0,-5.85e-06,-0.000847,0,0.001404315,0,2.72e-05,0,0,0,-0.00044,-2.34e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000595,0,0,0.0,0,0,0,0,0.005470683,0.0,0,0,-5.85e-06,0.0,-5.85e-06,0,0,-0.000257,0,-0.000322,-9.84e-05,0,0,0,1e-05,0.0,0,0,0.0,-5.85e-06,0.0,0,-0.000272,0,0,0.002083837,0.002083837,0.002083837,0,0,-5.85e-06,0,0.0,0,0.0,0,0,-0.00052,0,0.0,0,0,0,0,0,0,0.0,0.000469,-0.000182,0,0,0.0,0,0,0,0,0,0,0
1032,56,0,0,0,0,0,0.0,0,0,0,0,0,-5.98e-06,0,0,0.0,0.002129392,0.0,0,0,0,5.98e-06,0,0.0,-0.000515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-4.69e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.98e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.001444886,0,-0.000169,0,0.0,0,0,0.0,0.013525408,0,0,0,0,0,0,0,-0.007639133,-0.002394029,0,1.79e-05,0,5.98e-06,0,0,0,0,0,0,0,0,-5.98e-06,0.0,-0.002246441,-5.98e-06,0,0,0,0.0,0,0,0,0.0,-0.002624331,0.0,0,0,0.0,0,0.0,0.0,0,-0.003986906,0.002807967,0.0,0.0,-5.98e-06,-0.000865,0,0.001432935,0,2.71e-05,0,0,0,-0.000449,-2.39e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000608,0,0,0.0,0,0,0,0,0.005598056,0.0,0,0,-5.98e-06,0.0,-5.98e-06,0,0,-0.000263,0,-0.000329,-0.000101,0,0,0,1e-05,0.0,0,0,0.0,-5.98e-06,0.0,0,-0.000278,0,0,0.002129392,0.002129392,0.002129392,0,0,-5.98e-06,0,0.0,0,0.0,0,0,-0.000531,0,0.0,0,0,0,0,0,0,0.0,0.00048,-0.000186,0,0,0.0,0,0,0,0,0,0,0
1046,57,0,0,0,0,0,0.0,0,0,0,0,0,-6.09e-06,0,0,0.0,0.002170289,0.0,0,0,0,6.09e-06,0,0.0,-0.000525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.01e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-6.09e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.00147021,0,-0.000172,0,0.0,0,0,0.0,0.013791759,0,0,0,0,0,0,0,-0.007795014,-0.002428145,0,1.83e-05,0,6.09e-06,0,0,0,0,0,0,0,0,-6.09e-06,0.0,-0.002289586,-6.09e-06,0,0,0,0.0,0,0,0,0.0,-0.002680984,0.0,0,0,0.0,0,0.0,0.0,0,-0.004060347,0.002841074,0.0,0.0,-6.09e-06,-0.000882,0,0.001458029,0,2.72e-05,0,0,0,-0.000458,-2.44e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000619,0,0,0.0,0,0,0,0,0.005714292,0.0,0,0,-6.09e-06,0.0,-6.09e-06,0,0,-0.000268,0,-0.000335,-0.000102,0,0,0,1e-05,0.0,0,0,0.0,-6.09e-06,0.0,0,-0.000283,0,0,0.002170289,0.002170289,0.002170289,0,0,-6.09e-06,0,0.0,0,0.0,0,0,-0.000541,0,0.0,0,0,0,0,0,0,0.0,0.000489,-0.00019,0,0,0.0,0,0,0,0,0,0,0
