,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
693,41,0,0,0,0,0,0.0,0,0,0,0,0,-1.96e-06,0,0,-0.053069638,0.000699,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.96e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.96e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000156,0,0.0,0,0.0,0,0,0.0,-0.461311366,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,4.236974393,0,0,0,0,0,0,0,0,-1.96e-06,0.0,-0.633896276,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.000568,0,0.0,0.0,0,0.0,0.00998,0.0,-0.005995862,-1.96e-06,0.0,0,0.0,0,-1e-05,0,0,0,0.0,-7.85e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.007759345,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.96e-06,0.0,-1.96e-06,0,0,0.0,0,0.0,0.0,0,0,0,-7.860264682,0.0,0,0,0.0,-1.96e-06,0.0,0,0.0,0,0,0.000699,0.000699,0.000699,0,0,-1.96e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
707,42,0,0,0,0,0,0.0,0,0,0,0,0,-2.82e-06,0,0,-0.04592152,0.001006558,0.0,0,0,0,0.0,0,0.0,-0.000243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2.82e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82e-06,0,0,0,0.0,0,0,0,0,0,0.001711142,0.014245714,0,-7.98e-05,0,0.0,0,0,0.0,-0.578116315,0,0,0,0,0,0,0,0.012443192,0.0,0,0.0,0,4.263737502,0,0,0,0,0,0,0,0,-2.82e-06,0.0,-0.578116315,0.0,0,0,0,0.0,0,0,0,0.0,-0.014416591,0.0,0,0,-0.000818,0,0.0,0.0,0,-0.014369823,0.00998,0.0,0.162699773,-2.82e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.014369823,-1.13e-05,0.0,0,0,0.0,0,0.0,0,0,0,-0.006694925,-0.000287,0,0,-0.014369823,0,0,0,0,-0.013181235,0.0,0,0,-2.82e-06,0.0,-2.82e-06,0,0,-0.000124,0,-0.000156,-4.75e-05,0,0,0,-8.282915611,0.0,0,0,0.0,-2.82e-06,0.0,0,-0.014382827,0,0,0.001006558,0.001006558,0.001006558,0,0,-2.82e-06,0,0.0,0,0.0,0,0,-0.014369823,0,-0.014369823,0,0,0,0,0,0,0.0,0.0,-8.79e-05,0,0,0.0,0,0,0,0,0,0,0
721,43,0,0,0,0,0,0.0,0,0,0,0,0,-3.31e-06,0,0,-0.039767888,0.001181125,0.0,0,0,0,0.0,0,0.0,-0.000286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3.31e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.31e-06,0,0,0,0.0,0,0,0,0,0,0.028446994,0.02114154,0,-9.36e-05,0,0.0,0,0,0.0,-0.527580937,0,0,0,0,0,0,0,0.023159775,-0.000443,0,0.0,0,4.059949326,0,0,0,0,0,0,0,0,-3.31e-06,0.0,-0.52284261,-3.31e-06,0,0,0,0.0,0,0,0,0.0,-0.02294229,0.0,0,0,-0.00096,0,0.0,0.0,0,-0.024944086,0.00998,0.0,0.232551585,-3.31e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.025060027,-1.33e-05,0.0,0,0,0.0,0,0.0,0,0,0,-0.005797784,-0.000337,0,0,-0.03367619,0,0,0,0,-0.024019188,0.0,0,0,-3.31e-06,0.0,-3.31e-06,0,0,-0.000146,0,-0.000183,-5.58e-05,0,0,0,-8.336088992,0.0,0,0,0.0,-3.31e-06,0.0,0,-0.021302432,0,0,0.001181125,0.001181125,0.001181125,0,0,-3.31e-06,0,0.0,0,0.0,0,0,-0.02490314,0,-0.022217634,0,0,0,0,0,0,0.0,-6.63e-06,-0.000103,0,0,0.0,0,0,0,0,0,0,0
735,44,0,0,0,0,0,0.0,0,0,0,0,0,-3.45e-06,0,0,-0.034561992,0.001228536,0.0,0,0,0,0.0,0,0.0,-0.000297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3.45e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45e-06,0,0,0,0.0,0,0,0,0,0,0.04656202,0.023787439,0,-9.74e-05,0,0.0,0,0,0.0,-0.481702238,0,0,0,0,0,0,0,0.03120189,-0.001084582,0,0.0,0,3.460391769,0,0,0,0,0,0,0,0,-3.45e-06,0.0,-0.410194119,-3.45e-06,0,0,0,0.0,0,0,0,0.0,-0.027576395,0.0,0,0,-0.000998,0,0.0,0.0,0,-0.032542614,0.00998,0.0,0.283301629,-3.45e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.032860259,-1.38e-05,0.0,0,0,0.0,0,0.0,0,0,0,-0.005038813,-0.000351,0,0,-0.04609625,0,0,0,0,-0.0320958,0.0,0,0,-3.45e-06,0.0,-3.45e-06,0,0,-0.000152,0,-0.00019,-5.8e-05,0,0,0,-7.475050106,0.0,0,0,0.0,-3.45e-06,0.0,0,-0.02395479,0,0,0.001228536,0.001228536,0.001228536,0,0,-3.45e-06,0,0.0,0,0.0,0,0,-0.033021739,0,-0.028268529,0,0,0,0,0,0,0.0,-6.89e-06,-0.000107,0,0,0.0,0,0,0,0,0,0,0
749,45,0,0,0,0,0,0.0,0,0,0,0,0,-3.12e-06,0,0,-0.030157582,0.001113316,0.0,0,0,0,0.0,0,0.0,-0.000269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3.12e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12e-06,0,0,0,0.0,0,0,0,0,0,0.059154367,0.02406341,0,-8.82e-05,0,0.0,0,0,0.0,-0.439949935,0,0,0,0,0,0,0,0.037175922,-0.001818133,0,0.0,0,2.977920481,0,0,0,0,0,0,0,0,-3.12e-06,0.0,-0.322788139,-3.12e-06,0,0,0,0.0,0,0,0,0.0,-0.029837019,0.0,0,0,-0.000905,0,0.0,0.0,0,-0.037665557,0.00998,0.0,0.318429998,-3.12e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.038391787,-1.25e-05,0.0,0,0,0.0,0,0.0,0,0,0,-0.004396692,-0.000318,0,0,-0.054374328,0,0,0,0,-0.037985995,0.0,0,0,-3.12e-06,0.0,-3.12e-06,0,0,-0.000137,0,-0.000172,-5.26e-05,0,0,0,-6.75930011,0.0,0,0,0.0,-3.12e-06,0.0,0,-0.024215066,0,0,0.001113316,0.001113316,0.001113316,0,0,-3.12e-06,0,0.0,0,0.0,0,0,-0.038809727,0,-0.033196468,0,0,0,0,0,0,0.0,-6.25e-06,-9.73e-05,0,0,0.0,0,0,0,0,0,0,0
763,46,0,0,0,0,0,0.0,0,0,0,0,0,-2.78e-06,0,0,-0.02640574,0.000992,0.0,0,0,0,0.0,0,0.0,-0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2.78e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78e-06,0,0,0,0.0,0,0,0,0,0,0.067187455,0.023051843,0,-7.86e-05,0,0.0,0,0,0.0,-0.401808621,0,0,0,0,0,0,0,0.041330699,-0.002583559,0,0.0,0,2.590452621,0,0,0,0,0,0,0,0,-2.78e-06,0.0,-0.255477691,-2.78e-06,0,0,0,0.0,0,0,0,0.0,-0.030594662,0.0,0,0,-0.000806,0,0.0,0.0,0,-0.040943035,0.00998,0.0,0.342272986,-2.78e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.04212141,-1.11e-05,0.0,0,0,0.0,0,0.0,0,0,0,-0.003849708,-0.000283,0,0,-0.060841979,0,0,0,0,-0.042052363,0.0,0,0,-2.78e-06,0.0,-2.78e-06,0,0,-0.000122,0,-0.000153,-4.68e-05,0,0,0,-6.162671959,0.0,0,0,0.0,-2.78e-06,0.0,0,-0.023186947,0,0,0.000992,0.000992,0.000992,0,0,-2.78e-06,0,0.0,0,0.0,0,0,-0.043019217,0,-0.036106897,0,0,0,0,0,0,0.0,-5.57e-06,-8.67e-05,0,0,0.0,0,0,0,0,0,0,0
777,47,0,0,0,0,0,0.0,0,0,0,0,0,-2.49e-06,0,0,-0.023193396,0.000887,0.0,0,0,0,0.0,0,0.0,-0.000215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2.49e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49e-06,0,0,0,0.0,0,0,0,0,0,0.071844333,0.021403826,0,-7.03e-05,0,0.0,0,0,0.0,-0.366951194,0,0,0,0,0,0,0,0.044025006,-0.003344025,0,0.0,0,2.274835611,0,0,0,0,0,0,0,0,-2.49e-06,0.0,-0.203304604,-2.49e-06,0,0,0,0.0,0,0,0,0.0,-0.030384809,0.0,0,0,-0.000721,0,0.0,0.0,0,-0.042744705,0.00998,0.0,0.356913619,-2.49e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.044422361,-9.96e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.003381379,-0.000253,0,0,-0.065843509,0,0,0,0,-0.044670564,0.0,0,0,-2.49e-06,0.0,-2.49e-06,0,0,-0.00011,0,-0.000137,-4.19e-05,0,0,0,-5.653841697,0.0,0,0,0.0,-2.49e-06,0.0,0,-0.021524683,0,0,0.000887,0.000887,0.000887,0,0,-2.49e-06,0,0.0,0,0.0,0,0,-0.045894288,0,-0.037486286,0,0,0,0,0,0,0.0,-4.98e-06,-7.75e-05,0,0,0.0,0,0,0,0,0,0,0
791,48,0,0,0,0,0,0.0,0,0,0,0,0,-2.24e-06,0,0,-0.020432297,0.000799,0.0,0,0,0,0.0,0,0.0,-0.000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2.24e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.24e-06,0,0,0,0.0,0,0,0,0,0,0.07408341,0.019502248,0,-6.33e-05,0,0.0,0,0,0.0,-0.335100793,0,0,0,0,0,0,0,0.045578192,-0.004065661,0,0.0,0,2.016205085,0,0,0,0,0,0,0,0,-2.24e-06,0.0,-0.162901314,-2.24e-06,0,0,0,0.0,0,0,0,0.0,-0.02956834,0.0,0,0,-0.000649,0,0.0,0.0,0,-0.043480299,0.00998,0.0,0.36424752,-2.24e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.045598012,-8.97e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.002978837,-0.000228,0,0,-0.069614479,0,0,0,0,-0.046159718,0.0,0,0,-2.24e-06,0.0,-2.24e-06,0,0,-9.87e-05,0,-0.000123,-3.77e-05,0,0,0,-5.216046169,0.0,0,0,0.0,-2.24e-06,0.0,0,-0.019611117,0,0,0.000799,0.000799,0.000799,0,0,-2.24e-06,0,0.0,0,0.0,0,0,-0.047662279,0,-0.037734109,0,0,0,0,0,0,0.0,-4.49e-06,-6.98e-05,0,0,0.0,0,0,0,0,0,0,0
805,49,0,0,0,0,0,0.0,0,0,0,0,0,-2.29e-06,0,0,-0.047256727,0.000816,0.0,0,0,0,0.0,0,0.0,-0.000197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2.29e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29e-06,0,0,0,0.0,0,0,0,0,0,0.138678141,0.01754911,0,-6.47e-05,0,0.0,0,0,0.0,-0.306004907,0,0,0,0,0,0,0,0.046155122,-0.00474065,0,0.0,0,1.803719586,0,0,0,0,0,0,0,0,-2.29e-06,0.0,-0.131570227,0.0,0,0,0,0.0,0,0,0,0.0,-0.028379565,0.0,0,0,-0.000663,0,0.0,0.0,0,-0.043517215,0.009000179,0.0,0.237128266,-2.29e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.045889063,-9.16e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.006890369,-0.000233,0,0,-0.07233012,0,0,0,0,-0.046748997,0.0,0,0,-2.29e-06,0.0,-2.29e-06,0,0,-0.000101,0,-0.000126,-3.85e-05,0,0,0,-4.908610694,0.0,0,0,0.0,-2.29e-06,0.0,0,-0.017660291,0,0,0.000816,0.000816,0.000816,0,0,-2.29e-06,0,0.0,0,0.0,0,0,-0.048521538,0,-0.03713735,0,0,0,0,0,0,0.0,-4.58e-06,-7.13e-05,0,0,0.0,0,0,0,0,0,0,0
947,50,0,0,0,0,0,0.0,0,0,0,0,0,-2.08e-06,0,0,-0.041858303,0.000741,0.0,0,0,0,0.0,0,0.0,-0.000179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2.08e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08e-06,0,0,0,0.0,0,0,0,0,0,0.130468252,0.015691315,0,-5.87e-05,0,0.0,0,0,0.0,-0.279514017,0,0,0,0,0,0,0,0.046099727,-0.005424581,0,0.0,0,1.623961627,0,0,0,0,0,0,0,0,-2.08e-06,0.0,-0.107139831,0.0,0,0,0,0.0,0,0,0,0.0,-0.026982379,0.0,0,0,-0.000602,0,0.0,0.0,0,-0.042985687,0.008101688,0.0,0.248165777,-2.08e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.045500792,-8.31e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.00610324,-0.000211,0,0,-0.072659822,0,0,0,0,-0.046638548,0.0,0,0,-2.08e-06,0.0,-2.08e-06,0,0,-9.14e-05,0,-0.000114,-3.5e-05,0,0,0,-4.561684788,0.0,0,0,0.0,-2.08e-06,0.0,0,-0.015792189,0,0,0.000741,0.000741,0.000741,0,0,-2.08e-06,0,0.0,0,0.0,0,0,-0.048756705,0,-0.035929707,0,0,0,0,0,0,0.0,-4.16e-06,-6.47e-05,0,0,0.0,0,0,0,0,0,0,0
961,51,0,0,0,0,0,0.0,0,0,0,0,0,-1.89e-06,0,0,-0.037158091,0.000674,0.0,0,0,0,0.0,0,0.0,-0.000163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.89e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89e-06,0,0,0,0.0,0,0,0,0,0,0.122232351,0.013966351,0,-5.34e-05,0,0.0,0,0,0.0,-0.255311885,0,0,0,0,0,0,0,0.045844816,-0.006139895,0,0.0,0,1.470710766,0,0,0,0,0,0,0,0,-1.89e-06,0.0,-0.087908326,0.0,0,0,0,0.0,0,0,0,0.0,-0.025479243,0.0,0,0,-0.000548,0,0.0,0.0,0,-0.041922205,0.007336401,0.0,0.253805688,-1.89e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.044647205,-7.57e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.005417916,-0.000192,0,0,-0.07233237,0,0,0,0,-0.046335395,0.0,0,0,-1.89e-06,0.0,-1.89e-06,0,0,-8.33e-05,0,-0.000104,-3.18e-05,0,0,0,-4.248812699,0.0,0,0,0.0,-1.89e-06,0.0,0,-0.014058194,0,0,0.000674,0.000674,0.000674,0,0,-1.89e-06,0,0.0,0,0.0,0,0,-0.048408415,0,-0.034272935,0,0,0,0,0,0,0.0,-3.78e-06,-5.89e-05,0,0,0.0,0,0,0,0,0,0,0
975,52,0,0,0,0,0,0.0,0,0,0,0,0,-1.73e-06,0,0,-0.033051584,0.000615,0.0,0,0,0,0.0,0,0.0,-0.000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.73e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73e-06,0,0,0,0.0,0,0,0,0,0,0.114184262,0.012397628,0,-4.88e-05,0,0.0,0,0,0.0,-0.233203344,0,0,0,0,0,0,0,0.045143051,-0.006873711,0,0.0,0,1.338120369,0,0,0,0,0,0,0,0,-1.73e-06,0.0,-0.072660004,0.0,0,0,0,0.0,0,0,0,0.0,-0.023932956,0.0,0,0,-0.0005,0,0.0,0.0,0,-0.040397435,0.006674671,0.0,0.254928932,-1.73e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.043459336,-6.91e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.004819158,-0.000176,0,0,-0.07141599,0,0,0,0,-0.045590827,0.0,0,0,-1.73e-06,0.0,-1.73e-06,0,0,-7.6e-05,0,-9.51e-05,-2.9e-05,0,0,0,-3.962293911,0.0,0,0,0.0,-1.73e-06,0.0,0,-0.012481457,0,0,0.000615,0.000615,0.000615,0,0,-1.73e-06,0,0.0,0,0.0,0,0,-0.047626088,0,-0.032303225,0,0,0,0,0,0,0.0,-3.45e-06,-5.38e-05,0,0,0.0,0,0,0,0,0,0,0
989,53,0,0,0,0,0,0.0,0,0,0,0,0,-1.58e-06,0,0,-0.029451864,0.000562,0.0,0,0,0,0.0,0,0.0,-0.000136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.58e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.58e-06,0,0,0,0.0,0,0,0,0,0,0.106297652,0.010989003,0,-4.46e-05,0,0.0,0,0,0.0,-0.213008873,0,0,0,0,0,0,0,0.044338062,-0.007580634,0,0.0,0,1.221629944,0,0,0,0,0,0,0,0,-1.58e-06,0.0,-0.060488361,0.0,0,0,0,0.0,0,0,0,0.0,-0.022386045,0.0,0,0,-0.000457,0,0.0,0.0,0,-0.038518497,0.006093446,0.0,0.252511375,-1.58e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.041980968,-6.31e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.004294293,-0.000161,0,0,-0.069989192,0,0,0,0,-0.044747343,0.0,0,0,-1.58e-06,0.0,-1.58e-06,0,0,-6.95e-05,0,-8.69e-05,-2.66e-05,0,0,0,-3.696042908,0.0,0,0,0.0,-1.58e-06,0.0,0,-0.011065625,0,0,0.000562,0.000562,0.000562,0,0,-1.58e-06,0,0.0,0,0.0,0,0,-0.046488756,0,-0.030127837,0,0,0,0,0,0,0.0,-3.16e-06,-4.91e-05,0,0,0.0,0,0,0,0,0,0,0
1003,54,0,0,0,0,0,0.0,0,0,0,0,0,-1.44e-06,0,0,-0.026286961,0.000515,0.0,0,0,0,0.0,0,0.0,-0.000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.44e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44e-06,0,0,0,0.0,0,0,0,0,0,0.098757949,0.009773248,0,-4.08e-05,0,0.0,0,0,0.0,-0.194563513,0,0,0,0,0,0,0,0.043236993,-0.008267221,0,0.0,0,1.118338883,0,0,0,0,0,0,0,0,-1.44e-06,0.0,-0.050710125,0.0,0,0,0,0.0,0,0,0,0.0,-0.020870236,0.0,0,0,-0.000418,0,0.0,0.0,0,-0.036381597,0.005577911,0.0,0.247254922,-1.44e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.040272743,-5.78e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.003832827,-0.000147,0,0,-0.068132702,0,0,0,0,-0.043611461,0.0,0,0,-1.44e-06,0.0,-1.44e-06,0,0,-6.35e-05,0,-7.95e-05,-2.43e-05,0,0,0,-3.44770447,0.0,0,0,0.0,-1.44e-06,0.0,0,-0.009843353,0,0,0.000515,0.000515,0.000515,0,0,-1.44e-06,0,0.0,0,0.0,0,0,-0.045112121,0,-0.027849952,0,0,0,0,0,0,0.0,-2.89e-06,-4.5e-05,0,0,0.0,0,0,0,0,0,0,0
1017,55,0,0,0,0,0,0.0,0,0,0,0,0,-1.32e-06,0,0,-0.023496283,0.000471,0.0,0,0,0,0.0,0,0.0,-0.000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.32e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32e-06,0,0,0,0.0,0,0,0,0,0,0.091516928,0.008682923,0,-3.74e-05,0,0.0,0,0,0.0,-0.177716203,0,0,0,0,0,0,0,0.041909329,-0.008890606,0,0.0,0,1.026910061,0,0,0,0,0,0,0,0,-1.32e-06,0.0,-0.043029415,0.0,0,0,0,0.0,0,0,0,0.0,-0.019405701,0.0,0,0,-0.000383,0,0.0,0.0,0,-0.034067133,0.005121653,0.0,0.239781973,-1.32e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.038386297,-5.29e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.003425926,-0.000135,0,0,-0.065935219,0,0,0,0,-0.042252304,0.0,0,0,-1.32e-06,0.0,-1.32e-06,0,0,-5.82e-05,0,-7.28e-05,-2.22e-05,0,0,0,-3.216182813,0.0,0,0,0.0,-1.32e-06,0.0,0,-0.008747132,0,0,0.000471,0.000471,0.000471,0,0,-1.32e-06,0,0.0,0,0.0,0,0,-0.043530731,0,-0.025534967,0,0,0,0,0,0,0.0,-2.65e-06,-4.12e-05,0,0,0.0,0,0,0,0,0,0,0
1031,56,0,0,0,0,0,0.0,0,0,0,0,0,-2.36e-06,0,0,0.0,0.000842,0.0,0,0,0,0.0,0,0.0,-0.000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2.36e-06,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.00765634,0,-6.68e-05,0,0.0,0,0,0.0,-0.046443558,0,0,0,0,0,0,0,0.0,-0.009447956,0,0.0,0,0.826001824,0,0,0,0,0,0,0,0,-2.36e-06,0.0,-0.036936605,0.18190135,0,0,0,0.0,0,0,0,0.0,-0.018004418,0.0,0,0,-0.000684,0,0.0,0.0,0,-0.031642571,0.004697455,0.0,-0.148441287,-2.36e-06,0.0,0,0.0,0,-1e-05,0,0,0,-0.036363986,-9.45e-06,0.0,0,0,0.0,0,0.0,0,0,0,-0.162328873,-0.00024,0,0,-0.063457243,0,0,0,0,-0.000613,0.0,0,0,-2.36e-06,0.0,-2.36e-06,0,0,-0.000104,0,-0.00013,-3.98e-05,0,0,0,-3.246567463,0.0,0,0,0.0,-2.36e-06,0.0,0,-0.007771076,0,0,0.000842,0.000842,0.000842,0,0,-2.36e-06,0,0.0,0,0.0,0,0,-0.041809853,0,-0.023238283,0,0,0,0,0,0,0.0,-4.73e-06,-7.36e-05,0,0,0.0,0,0,0,0,0,0,0
