,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
700,42,0,0,0,0,0,0.000329,0,0,0,0,0,-9.67e-07,0,0,0.0,0.000312,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-9.67e-07,0,0,0,0.0,0,0,0,0,0,0.0,-6.85e-05,0,0.0,0,0.0,0,0,-9.67e-07,0.09089058,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,4.36e-06,-9.67e-07,0.0,0.0,-2.84e-05,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-1.93e-06,0,-0.018172452,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.002367482,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,9.67e-07,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.000312,0.000312,0.000312,0,0,0.0,0,0.037170991,0,0.0,0,0,0.0,0,-0.000174,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
714,43,0,0,0,0,0,0.000568,0,0,0,0,0,-2.07e-06,0,0,0.0,0.000669,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-7.47e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000149,0,0.0,0,0.0,0,0,-2.07e-06,0.192974078,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.07e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,4.34e-06,-2.07e-06,0.0,-2.07e-06,-6.5e-05,0,0.0,0,-1e-05,0,0,0,0.0,-2.07e-06,0.0,0,0,-4.14e-06,0,-0.038581713,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.004521665,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-7.26e-05,0.0,0,0,0.0,-2.07e-06,0.0,0,0.0,0,0,0.000669,0.000669,0.000669,0,0,0.0,0,0.077597854,0,0.0,0,0,0.0,0,-0.000374,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
728,44,0,0,0,0,0,0.000693,0,0,0,0,0,-3.29e-06,0,0,0.0,0.001061551,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000187,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.29e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000236,0,0.0,0,0.0,0,0,-3.29e-06,0.30292168,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.29e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.22e-06,-3.29e-06,0.0,-3.29e-06,-0.000103,0,0.0,0,1e-05,0,0,0,0.0,-3.29e-06,0.0,0,0,-6.57e-06,0,-0.06022592,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.006486067,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000184,0.0,0,0,0.0,-3.29e-06,0.0,0,0.0,0,0,0.001061551,0.001061551,0.001061551,0,0,0.0,0,0.119388056,0,0.0,0,0,0.0,0,-0.000593,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
742,45,0,0,0,0,0,0.000779,0,0,0,0,0,-4.44e-06,0,0,0.0,0.001434242,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000276,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4.44e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000319,0,0.0,0,0.0,0,0,-4.44e-06,0.406534294,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-4.44e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,4.15e-06,-4.44e-06,0.0,-4.44e-06,-0.000139,0,0.0,0,1e-05,0,0,0,0.0,-4.44e-06,0.0,0,0,-8.88e-06,0,-0.080394611,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.008355882,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000271,0.0,0,0,0.0,-4.44e-06,0.0,0,0.0,0,0,0.001434242,0.001434242,0.001434242,0,0,0.0,0,0.15824865,0,0.0,0,0,0.0,0,-0.000801,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
756,46,0,0,0,0,0,0.000862,0,0,0,0,0,-5.51e-06,0,0,0.0,0.001780061,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000342,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.51e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000396,0,0.0,0,0.0,0,0,-5.51e-06,0.501130167,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-5.51e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,4.15e-06,-5.51e-06,0.0,-5.51e-06,-0.000173,0,0.0,0,-1e-05,0,0,0,0.0,-5.51e-06,0.0,0,0,-1.1e-05,0,-0.098252263,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.01016094,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000337,0.0,0,0,0.0,-5.51e-06,0.0,0,0.0,0,0,0.001780061,0.001780061,0.001780061,0,0,0.0,0,0.192745752,0,0.0,0,0,0.0,0,-0.000994,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
770,47,0,0,0,0,0,0.001487827,0,0,0,0,0,-5.83e-06,0,0,0.0,0.00188359,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000362,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.83e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000419,0,0.0,0,0.0,0,0,-5.83e-06,0.52498727,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-5.83e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.12e-06,-5.83e-06,0.0,-5.83e-06,-0.000183,0,0.0,0,-1e-05,0,0,0,0.0,-5.83e-06,0.0,0,0,-1.17e-05,0,-0.100168673,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.01190375,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000356,0.0,0,0,0.0,-5.83e-06,0.0,0,0.0,0,0,0.00188359,0.00188359,0.00188359,0,0,0.0,0,0.199817174,0,0.0,0,0,0.0,0,-0.001052324,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
784,48,0,0,0,0,0,0.002050363,0,0,0,0,0,-6.16e-06,0,0,0.0,0.001988919,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000382,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-6.16e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000443,0,0.0,0,0.0,0,0,-6.16e-06,0.548722922,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-6.16e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.12e-06,-6.16e-06,0.0,-6.16e-06,-0.000193,0,0.0,0,-1e-05,0,0,0,0.0,-6.16e-06,0.0,0,0,-1.23e-05,0,-0.102001191,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.013528075,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000376,0.0,0,0,0.0,-6.16e-06,0.0,0,0.0,0,0,0.001988919,0.001988919,0.001988919,0,0,0.0,0,0.206328713,0,0.0,0,0,0.0,0,-0.001111169,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
798,49,0,0,0,0,0,0.002542916,0,0,0,0,0,-6.5e-06,0,0,0.0,0.002098233,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000403,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000467,0,0.0,0,0.0,0,0,-6.5e-06,0.573017567,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-6.5e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,4.15e-06,-6.5e-06,0.0,-6.5e-06,-0.000204,0,0.0,0,1e-05,0,0,0,0.0,-6.5e-06,0.0,0,0,-1.3e-05,0,-0.10393807,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.015031321,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000397,0.0,0,0,0.0,-6.5e-06,0.0,0,0.0,0,0,0.002098233,0.002098233,0.002098233,0,0,0.0,0,0.212587043,0,0.0,0,0,0.0,0,-0.00117224,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
940,50,0,0,0,0,0,0.00300683,0,0,0,0,0,-6.79e-06,0,0,0.0,0.002193471,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000422,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-6.79e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000488,0,0.0,0,0.0,0,0,-6.79e-06,0.595080789,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-6.79e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.12e-06,-6.79e-06,0.0,-6.79e-06,-0.000213,0,0.0,0,1e-05,0,0,0,0.0,-6.79e-06,0.0,0,0,-1.36e-05,0,-0.105983239,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.01641057,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000415,0.0,0,0,0.0,-6.79e-06,0.0,0,0.0,0,0,0.002193471,0.002193471,0.002193471,0,0,0.0,0,0.218984826,0,0.0,0,0,0.0,0,-0.001225447,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
954,51,0,0,0,0,0,0.003456968,0,0,0,0,0,-7.02e-06,0,0,0.0,0.002267354,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000436,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7.02e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000505,0,0.0,0,0.0,0,0,-7.02e-06,0.613660193,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.02e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.12e-06,-7.02e-06,0.0,-7.02e-06,-0.00022,0,0.0,0,1e-05,0,0,0,0.0,-7.02e-06,0.0,0,0,-1.4e-05,0,-0.108122576,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.017661046,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000429,0.0,0,0,0.0,-7.02e-06,0.0,0,0.0,0,0,0.002267354,0.002267354,0.002267354,0,0,0.0,0,0.22559346,0,0.0,0,0,0.0,0,-0.001266724,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
968,52,0,0,0,0,0,0.003846966,0,0,0,0,0,-7.24e-06,0,0,0.0,0.00233809,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000449,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7.24e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.00052,0,0.0,0,0.0,0,0,-7.24e-06,0.631612271,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.24e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.12e-06,-7.24e-06,0.0,-7.24e-06,-0.000227,0,0.0,0,1e-05,0,0,0,0.0,-7.24e-06,0.0,0,0,-1.45e-05,0,-0.110334689,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.01877633,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000442,0.0,0,0,0.0,-7.24e-06,0.0,0,0.0,0,0,0.00233809,0.00233809,0.00233809,0,0,0.0,0,0.232002603,0,0.0,0,0,0.0,0,-0.001306243,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
982,53,0,0,0,0,0,0.004175607,0,0,0,0,0,-7.45e-06,0,0,0.0,0.00240553,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000462,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7.45e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000535,0,0.0,0,0.0,0,0,-7.45e-06,0.648900226,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.45e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.12e-06,-7.45e-06,0.0,-7.45e-06,-0.000234,0,0.0,0,1e-05,0,0,0,0.0,-7.45e-06,0.0,0,0,-1.49e-05,0,-0.112616398,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.019753269,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000455,0.0,0,0,0.0,-7.45e-06,0.0,0,0.0,0,0,0.00240553,0.00240553,0.00240553,0,0,0.0,0,0.238199341,0,0.0,0,0,0.0,0,-0.00134392,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
996,54,0,0,0,0,0,0.004442267,0,0,0,0,0,-7.65e-06,0,0,0.0,0.002469562,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000475,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7.65e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.00055,0,0.0,0,0.0,0,0,-7.65e-06,0.665496437,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.65e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.12e-06,-7.65e-06,0.0,-7.65e-06,-0.00024,0,0.0,0,1e-05,0,0,0,0.0,-7.65e-06,0.0,0,0,-1.53e-05,0,-0.114964371,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.0205901,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000467,0.0,0,0,0.0,-7.65e-06,0.0,0,0.0,0,0,0.002469562,0.002469562,0.002469562,0,0,0.0,0,0.244173824,0,0.0,0,0,0.0,0,-0.001379694,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1010,55,0,0,0,0,0,0.004647015,0,0,0,0,0,-7.83e-06,0,0,0.0,0.002530005,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000486,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7.83e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000563,0,0.0,0,0.0,0,0,-7.83e-06,0.681359256,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.83e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,4.15e-06,-7.83e-06,0.0,-7.83e-06,-0.000246,0,0.0,0,1e-05,0,0,0,0.0,-7.83e-06,0.0,0,0,-1.57e-05,0,-0.11737517,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.021286091,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000478,0.0,0,0,0.0,-7.83e-06,0.0,0,0.0,0,0,0.002530005,0.002530005,0.002530005,0,0,0.0,0,0.249918484,0,0.0,0,0,0.0,0,-0.001413462,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1024,56,0,0,0,0,0,0.004789834,0,0,0,0,0,-8.01e-06,0,0,0.0,0.002587037,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000497,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-8.01e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000576,0,0.0,0,0.0,0,0,-8.01e-06,0.696519698,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.01e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,4.15e-06,-8.01e-06,0.0,-8.01e-06,-0.000251,0,0.0,0,1e-05,0,0,0,0.0,-8.01e-06,0.0,0,0,-1.6e-05,0,-0.119845177,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.021842056,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000489,0.0,0,0,0.0,-8.01e-06,0.0,0,0.0,0,0,0.002587037,0.002587037,0.002587037,0,0,0.0,0,0.255429131,0,0.0,0,0,0.0,0,-0.001445325,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1038,57,0,0,0,0,0,0.004871862,0,0,0,0,0,-8.18e-06,0,0,0.0,0.002640555,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000508,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-8.18e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000588,0,0.0,0,0.0,0,0,-8.18e-06,0.710953959,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.18e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,4.15e-06,-8.18e-06,0.0,-8.18e-06,-0.000257,0,0.0,0,1e-05,0,0,0,0.0,-8.18e-06,0.0,0,0,-1.64e-05,0,-0.122370952,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.022259783,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000499,0.0,0,0,0.0,-8.18e-06,0.0,0,0.0,0,0,0.002640555,0.002640555,0.002640555,0,0,0.0,0,0.26070421,0,0.0,0,0,0.0,0,-0.001475224,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1052,58,0,0,0,0,0,0.004994008,0,0,0,0,0,-8.36e-06,0,0,0.0,0.002699409,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000519,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-8.36e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000601,0,0.0,0,0.0,0,0,-8.36e-06,0.72660014,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.36e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.12e-06,-8.36e-06,0.0,-8.36e-06,-0.000262,0,0.0,0,-1e-05,0,0,0,0.0,-8.36e-06,0.0,0,0,-1.67e-05,0,-0.124948956,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.022783042,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000511,0.0,0,0,0.0,-8.36e-06,0.0,0,0.0,0,0,0.002699409,0.002699409,0.002699409,0,0,0.0,0,0.266319687,0,0.0,0,0,0.0,0,-0.001508105,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
1066,59,0,0,0,0,0,0.005161632,0,0,0,0,0,-8.55e-06,0,0,0.0,0.002761406,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000531,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-8.55e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000614,0,0.0,0,0.0,0,0,-8.55e-06,0.74303085,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.55e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2.12e-06,-8.55e-06,0.0,-8.55e-06,-0.000268,0,0.0,0,-1e-05,0,0,0,0.0,-8.55e-06,0.0,0,0,-1.71e-05,0,-0.127584495,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.023412149,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.000522,0.0,0,0,0.0,-8.55e-06,0.0,0,0.0,0,0,0.002761406,0.002761406,0.002761406,0,0,0.0,0,0.272285306,0,0.0,0,0,0.0,0,-0.001542741,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
